   2ns clock=0 pc=         0 inst=xxxxxxxx rs1_addr= x rs1_data=         x rs2_addr= x rs2_data=         x
   3ns clock=1 pc=         0 inst=00002197 rs1_addr= 0 rs1_data=         x rs2_addr= 0 rs2_data=         x
   3ns clock=0 pc=         0 inst=00002197 rs1_addr= 0 rs1_data=         x rs2_addr= 0 rs2_data=         x
   4ns clock=1 pc=         4 inst=00002197 rs1_addr= 0 rs1_data=         0 rs2_addr= 0 rs2_data=      8192
   4ns clock=0 pc=         4 inst=00002197 rs1_addr= 0 rs1_data=         0 rs2_addr= 0 rs2_data=      8192
   5ns clock=1 pc=         8 inst=1ac18193 rs1_addr= 3 rs1_data=         4 rs2_addr=12 rs2_data=      8192
   5ns clock=0 pc=         8 inst=1ac18193 rs1_addr= 3 rs1_data=         4 rs2_addr=12 rs2_data=      8192
   6ns clock=1 pc=        12 inst=80c18513 rs1_addr= 3 rs1_data=         X rs2_addr=12 rs2_data=       428
   6ns clock=0 pc=        12 inst=80c18513 rs1_addr= 3 rs1_data=         X rs2_addr=12 rs2_data=       428
   7ns clock=1 pc=        16 inst=82818613 rs1_addr= 3 rs1_data=         X rs2_addr= 8 rs2_data=2147481612
   7ns clock=0 pc=        16 inst=82818613 rs1_addr= 3 rs1_data=         X rs2_addr= 8 rs2_data=2147481612
   8ns clock=1 pc=        20 inst=40a60633 rs1_addr=12 rs1_data=         X rs2_addr=10 rs2_data=2147481640
   8ns clock=0 pc=        20 inst=40a60633 rs1_addr=12 rs1_data=         X rs2_addr=10 rs2_data=2147481640
   9ns clock=1 pc=        24 inst=00000593 rs1_addr= 0 rs1_data=         x rs2_addr= 0 rs2_data=         x
   9ns clock=0 pc=        24 inst=00000593 rs1_addr= 0 rs1_data=         x rs2_addr= 0 rs2_data=         x
  10ns clock=1 pc=        28 inst=2a4000ef rs1_addr= 0 rs1_data=         0 rs2_addr= 4 rs2_data=         0
  10ns clock=0 pc=        28 inst=2a4000ef rs1_addr= 0 rs1_data=         0 rs2_addr= 4 rs2_data=         0
